x,y
0,0
0.000247,0.002779
0.000987,0.005521
0.002219,0.008223
0.003943,0.010884
0.006156,0.013503
0.008856,0.016078
0.012042,0.018607
0.015708,0.021088
0.019853,0.023517
0.024472,0.025893
0.02956,0.028213
0.035112,0.030473
0.041123,0.032671
0.047586,0.034803
0.054497,0.036867
0.061847,0.038859
0.069629,0.040776
0.077836,0.042615
0.08646,0.044374
0.095492,0.046049
0.104922,0.047638
0.114743,0.049138
0.124944,0.050546
0.135516,0.051862
0.146447,0.053083
0.157726,0.054206
0.169344,0.055232
0.181288,0.056159
0.193546,0.056986
0.206107,0.057712
0.218958,0.058338
0.232087,0.058863
0.245479,0.059288
0.259123,0.059614
0.273005,0.059841
0.28711,0.059971
0.301426,0.060006
0.315938,0.059947
0.330631,0.059797
0.345492,0.059557
0.360504,0.05923
0.375655,0.058819
0.390928,0.058326
0.406309,0.057755
0.421783,0.057108
0.437333,0.05639
0.452946,0.055602
0.468605,0.054749
0.484295,0.053835
0.5,0.052862
0.515705,0.051833
0.531395,0.050754
0.547054,0.049626
0.562667,0.048455
0.578217,0.047242
0.593691,0.045992
0.609072,0.044708
0.624345,0.043394
0.639496,0.042052
0.654508,0.040686
0.669369,0.0393
0.684062,0.037896
0.698574,0.036478
0.71289,0.035048
0.726995,0.03361
0.740877,0.032168
0.754521,0.030723
0.767913,0.029279
0.781042,0.027838
0.793893,0.026405
0.806454,0.024981
0.818712,0.023569
0.830656,0.022173
0.842274,0.020795
0.853553,0.019438
0.864484,0.018106
0.875056,0.0168
0.885257,0.015523
0.895078,0.01428
0.904508,0.013071
0.91354,0.0119
0.922164,0.01077
0.930371,0.009684
0.938153,0.008643
0.945503,0.007651
0.952414,0.00671
0.958877,0.005822
0.964888,0.00499
0.97044,0.004216
0.975528,0.003501
0.980147,0.002849
0.984292,0.00226
0.987958,0.001737
0.991144,0.00128
0.993844,0.000891
0.996057,0.000572
0.997781,0.000322
0.999013,0.000143
0.999753,0.000036
1,0
